movie_id,predictions
62693,0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1
296252,1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0
1356971,1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0
1428872,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0
1582173,0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
1595142,1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 1 0 0
1600825,0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1
1681132,0 1 0 1 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1
2268290,0 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1
3327607,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
3569957,1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
4413498,0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 1
4635580,1 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 1 0 0
4950989,1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
5565692,1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 1 0 0 0 1
7003785,0 0 0 0 1 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0
8269287,0 1 0 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0
9560197,1 1 0 1 0 1 0 1 0 0 1 1 1 1 0 1 0 0 0 1
10731337,1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
11192132,0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
11272068,1 0 0 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0 1 0
12324827,1 0 0 0 1 1 0 0 0 0 1 1 1 0 0 1 0 1 0 1
13333148,0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 0
13949859,0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
15260151,1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 1 1 0
15739815,1 0 0 0 0 1 0 1 0 0 1 1 1 0 0 1 0 1 0 0
16706073,1 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 0 1 0 0
17341391,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1
19286389,1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 1 0 1 0 0
19940419,1 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 0 1 0 0
20312589,0 1 0 0 1 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1
20622279,1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
22657516,1 0 0 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 1 0
22822894,1 0 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 0
23658166,1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 1 0
23863620,0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0
24003057,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24225138,1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0
24817139,0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1
24950437,0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0
25233202,1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 0 0
